"id","username","password","email","is_admin"
1,"Yoan","password","yoan.demenezes@gmail.com",True
2,"test","password","test@gmail.com",True
3,"Maverick","password","yoan.dalkia@gmail.com",False
4,"Bob","password","bob.sponge@gmail.com",False
5,"Patrick","password","patrick.seastar@gmail.com",False
6,"Anne","password","anne.franck@gmail.com",False
7,"Steeve","password","steeve.mcqueen@gmail.com",False
8,"Yo","password","yo.yoan@gmail.com",False
9,"Alice","password","Alice.Wonderland@gmail.com",False
10,"John","password","john.doe@gmail.com",False
11,"Jane","password","jane.smith@gmail.com",False
12,"Max","password","max.power@gmail.com",False
13,"Lisa","password","lisa.simpson@gmail.com",False
14,"Bart","password","bart.simpson@gmail.com",False
15,"Homer","password","homer.simpson@gmail.com",False
16,"Marge","password","marge.simpson@gmail.com",False
17,"Nelson","password","nelson.muntz@gmail.com",False
18,"Milhouse","password","milhouse.vanhouten@gmail.com",False
19,"Ralph","password","ralph.wiggum@gmail.com",False
20,"Seymour","password","seymour.skinner@gmail.com",False
21,"Edna","password","edna.krabappel@gmail.com",False
22,"Apu","password","apu.nahasapeemapetilon@gmail.com",False
